sign_number,category,simp_match,trad_match,xlsx_text,csv_text,xlsx_simp_no_punct,csv_simp_no_punct,diff_detail,punct_segments,punct_count
15,完全一致,True,True,意在闲中信未来，故人千里自徘徊，天边雁足传消息，一点梅花春色回。,意在閒中信未來故人千里自徘徊天邊雁足傳消息一點梅花春色回,意在闲中信未来故人千里自徘徊天边雁足传消息一点梅花春色回,意在闲中信未来故人千里自徘徊天边雁足传消息一点梅花春色回,,"[7, 7, 7, 7]",4
16,完全一致,True,True,心和同，事知同，门外好施功，交加事有终。,心和同事知同門外好施功交加事有終,心和同事知同门外好施功交加事有终,心和同事知同门外好施功交加事有终,,"[3, 3, 5, 5]",4
17,完全一致,True,True,欲行还止，徘徊不已，藏玉怀珠，寸心千里。,欲行還止徘徊不已藏玉懷珠寸心千里,欲行还止徘徊不已藏玉怀珠寸心千里,欲行还止徘徊不已藏玉怀珠寸心千里,,"[4, 4, 4, 4]",4
18,仅异体字,True,False,心戚戚，口啾啾，一番思虑一番忧，说了休时又不休。,心戚戚口啾啾一番思慮一番憂説了休時又不休,心戚戚口啾啾一番思虑一番忧说了休时又不休,心戚戚口啾啾一番思虑一番忧说了休时又不休,,"[3, 3, 7, 7]",4
19,仅异体字,True,False,不远不近，似易似难，等闲一事，云中笑看。,不遠不近似易似難等閑一事雲中笑看,不远不近似易似难等闲一事云中笑看,不远不近似易似难等闲一事云中笑看,,"[4, 4, 4, 4]",4
20,完全一致,True,True,桃李谢春风，西飞又复东，家中无意绪，船在浪涛中。,桃李謝春風西飛又復東家中無意緒船在浪濤中,桃李谢春风西飞又复东家中无意绪船在浪涛中,桃李谢春风西飞又复东家中无意绪船在浪涛中,,"[5, 5, 5, 5]",4
21,仅异体字,True,False,一水远一水，一山旋一山，水穷山尽处，名利不为难。,一水遠一水一山旋一山水窮山盡處名利不為難,一水远一水一山旋一山水穷山尽处名利不为难,一水远一水一山旋一山水穷山尽处名利不为难,,"[5, 5, 5, 5]",4
22,完全一致,True,True,事相扶，在半途，翻覆终可免，风波一点无。,事相扶在半途翻覆終可免風波一點無,事相扶在半途翻覆终可免风波一点无,事相扶在半途翻覆终可免风波一点无,,"[3, 3, 5, 5]",4
23,真正差异,False,False,喜喜喜，春风生桃李，不用强忧煎，明月人千里。,喜喜喜春風生桃李不用強憂煎明月人干里,喜喜喜春风生桃李不用强忧煎明月人千里,喜喜喜春风生桃李不用强忧煎明月人干里,pos16: xlsx=千(明月人千里) csv=干(明月人干里),"[3, 5, 5, 5]",4
24,仅异体字,True,False,意孜孜，心戚戚，要平安，防出入。,意孜孜心戚戚要平安防出入,意孜孜心戚戚要平安防出入,意孜孜心戚戚要平安防出入,,"[3, 3, 3, 3]",4
25,真正差异,False,False,见不见，也防人背面，遇不遇，到底无凭据。,見不見也防人背西遇不遇到底無憑據,见不见也防人背面遇不遇到底无凭据,见不见也防人背西遇不遇到底无凭据,pos7: xlsx=面(防人背面遇不遇) csv=西(防人背西遇不遇),"[3, 5, 3, 5]",4
26,真正差异,False,False,一番桃李一番春，谁识当初气象新，林下水边寻活计，见山了了称心意。,一番桃李一番春護識當初氣象新林下水邊尋活計見山了了稱心情,一番桃李一番春谁识当初气象新林下水边寻活计见山了了称心意,一番桃李一番春护识当初气象新林下水边寻活计见山了了称心情,pos7: xlsx=谁(一番春谁识当初) csv=护(一番春护识当初); pos27: xlsx=意(了称心意) csv=情(了称心情),"[7, 7, 7, 7]",4
27,真正差异,False,False,莫怪我见错，心性自成痾，偏僻不通心，真人却不魔。,莫怪我見錯心性自成疴偏僻不通心真人却不魔,莫怪我见错心性自成痾偏僻不通心真人却不魔,莫怪我见错心性自成疴偏僻不通心真人却不魔,pos9: xlsx=痾(性自成痾偏僻不) csv=疴(性自成疴偏僻不),"[5, 5, 5, 5]",4
28,仅异体字,True,False,禄马交驰，男儿得志时，行程早办，荣归乐期颐。,禄馬交馳男兒得志時行程早辦榮歸樂期頤,禄马交驰男儿得志时行程早办荣归乐期颐,禄马交驰男儿得志时行程早办荣归乐期颐,,"[4, 5, 4, 5]",4
29,仅异体字,True,False,了却心头事，三生夙有缘，香开十里桂，移步入天边。,了却心頭事三生夙有緣香開十里桂移步入天邊,了却心头事三生夙有缘香开十里桂移步入天边,了却心头事三生夙有缘香开十里桂移步入天边,,"[5, 5, 5, 5]",4
30,完全一致,True,True,缘黄阁白了头，毕竟成何济，不如趁此精神，犹好买些真气。,緣黃閣白了頭畢竟成何濟不如趁此精神猶好買些真氣,缘黄阁白了头毕竟成何济不如趁此精神犹好买些真气,缘黄阁白了头毕竟成何济不如趁此精神犹好买些真气,,"[6, 5, 6, 6]",4
31,仅异体字,True,False,离别间，虽不易，同伴行，犹不滞，早早起程，免他失意。,離别間雖不易同伴行猶不滞早早起程免他失意,离别间虽不易同伴行犹不滞早早起程免他失意,离别间虽不易同伴行犹不滞早早起程免他失意,,"[3, 3, 3, 3, 4, 4]",6
32,仅异体字,True,False,乐之极矣忧将至，巽兑分明吉与凶，未能光大终幽暗，日落西山返照中。,樂之極矣憂將至巽兌分明吉與凶未能光大終幽暗日落西山返照中,乐之极矣忧将至巽兑分明吉与凶未能光大终幽暗日落西山返照中,乐之极矣忧将至巽兑分明吉与凶未能光大终幽暗日落西山返照中,,"[7, 7, 7, 7]",4
33,真正差异,False,False,历过波涛三五重，谁知浪静又无风，须教明达青云路，用舍行藏不费功。,歷過波濤三五重誰知浪靜又無風須教明遠青雲路用舍行藏不費功,历过波涛三五重谁知浪静又无风须教明达青云路用舍行藏不费功,历过波涛三五重谁知浪静又无风须教明远青云路用舍行藏不费功,pos17: xlsx=达(须教明达青云路) csv=远(须教明远青云路),"[7, 7, 7, 7]",4
34,完全一致,True,True,缺月又重圆，枯枝色更鲜，一条夷坦路，翘首望青天。,缺月又重圓枯枝色更鮮一條夷坦路翹首望青天,缺月又重圆枯枝色更鲜一条夷坦路翘首望青天,缺月又重圆枯枝色更鲜一条夷坦路翘首望青天,,"[5, 5, 5, 5]",4
35,完全一致,True,True,行路难行路难，今日方知行路难，前程广大何足虑，琼力今朝度此滩。,行路難行路難今日方知行路難前程廣大何足慮瓊力今朝度此灘,行路难行路难今日方知行路难前程广大何足虑琼力今朝度此滩,行路难行路难今日方知行路难前程广大何足虑琼力今朝度此滩,,"[6, 7, 7, 7]",4
36,真正差异,False,False,春景明，春色新，春意傍水生，春天无限好，好去宴琼林。,春景明春色新春意傍水生春天無限好好去宴勉林,春景明春色新春意傍水生春天无限好好去宴琼林,春景明春色新春意傍水生春天无限好好去宴勉林,pos19: xlsx=琼(好去宴琼林) csv=勉(好去宴勉林),"[3, 3, 5, 5, 5]",5
37,真正差异,False,False,万马归元，千猿朝洞，虎伏龙降，道高德重。,萬馬歸元千獵朝洞虎伏龍降道高德重,万马归元千猿朝洞虎伏龙降道高德重,万马归元千猎朝洞虎伏龙降道高德重,pos5: xlsx=猿(归元千猿朝洞虎) csv=猎(归元千猎朝洞虎),"[4, 4, 4, 4]",4
38,完全一致,True,True,黄鹂报上林，春色鲜明，提鞭快着，马上速行程。,黃鸝報上林春色鮮明提鞭快着馬上速行程,黄鹂报上林春色鲜明提鞭快着马上速行程,黄鹂报上林春色鲜明提鞭快着马上速行程,,"[5, 4, 4, 5]",4
39,完全一致,True,True,大肆放灵丹，救人行万千，到头登彼岸，渡过入仙班。,大肆放靈丹救人行萬千到頭登彼岸渡過入仙班,大肆放灵丹救人行万千到头登彼岸渡过入仙班,大肆放灵丹救人行万千到头登彼岸渡过入仙班,,"[5, 5, 5, 5]",4
40,真正差异,False,False,一带水，碧澄澄，舟住江上，月到天心；稳步其中，玄妙不闲，非人误己，几丧生身。,一帶水碧澄澄舟住江上月到天心穩步其中玄妙不閒非人誤已幾喪生身,一带水碧澄澄舟住江上月到天心稳步其中玄妙不闲非人误己几丧生身,一带水碧澄澄舟住江上月到天心稳步其中玄妙不闲非人误已几丧生身,pos25: xlsx=己(非人误己几丧生) csv=已(非人误已几丧生),"[3, 3, 4, 4, 4, 4, 4, 4]",8
41,真正差异,False,False,桃李舒姘，春光鲜丽，良辰美景君须记，随心所往事事相宜，无用多疑干渎神祗。,桃李舒妍春光鮮麗良辰美景君須記隨心所往事事相宜無用多疑千凟神祇,桃李舒姘春光鲜丽良辰美景君须记随心所往事事相宜无用多疑干渎神祗,桃李舒妍春光鲜丽良辰美景君须记随心所往事事相宜无用多疑千凟神祇,pos3: xlsx=姘(桃李舒姘春光鲜) csv=妍(桃李舒妍春光鲜); pos27: xlsx=干(用多疑干渎神祗) csv=千(用多疑千凟神祇); pos28: xlsx=渎(多疑干渎神祗) csv=凟(多疑千凟神祇); pos30: xlsx=祗(干渎神祗) csv=祇(千凟神祇),"[4, 4, 7, 8, 8]",5
42,真正差异,False,False,隐中显，显中微，个中有玄机，参得透了，直上仙梯。,穩中顯顯中微個中有玄機參得透了直上仙梯,隐中显显中微个中有玄机参得透了直上仙梯,稳中显显中微个中有玄机参得透了直上仙梯,pos0: xlsx=隐(隐中显显) csv=稳(稳中显显),"[3, 3, 5, 4, 4]",5
43,仅异体字,True,False,无上去，在前头，回头一悟，绳缰好收，千条万线路常在，自好搜求。,無上去在前頭回頭一悟繩韁好收千條萬線路常在自好搜求,无上去在前头回头一悟绳缰好收千条万线路常在自好搜求,无上去在前头回头一悟绳缰好收千条万线路常在自好搜求,,"[3, 3, 4, 4, 7, 4]",6
44,完全一致,True,True,四顾无门路，桃源路可通，修炼成正果，万岁寿如松。,四顧無門路桃源路可通修煉成正果萬歲壽如松,四顾无门路桃源路可通修炼成正果万岁寿如松,四顾无门路桃源路可通修炼成正果万岁寿如松,,"[5, 5, 5, 5]",4
45,完全一致,True,True,不用忙，不用慌，自有驻足乡，鸣鼓响钟地，三宝见门墙。,不用忙不用慌自有駐足鄉鳴鼓響鐘地三寶見門牆,不用忙不用慌自有驻足乡鸣鼓响钟地三宝见门墙,不用忙不用慌自有驻足乡鸣鼓响钟地三宝见门墙,,"[3, 3, 5, 5, 5]",5
46,仅异体字,True,False,奔波一世，总是虚浮，无常一到万事休，急早回头。,奔波一世總是虚浮無常一到萬事休急早回頭,奔波一世总是虚浮无常一到万事休急早回头,奔波一世总是虚浮无常一到万事休急早回头,,"[4, 4, 7, 4]",4
47,真正差异,False,False,真真真，人不识，真真真，神有灵，归宗返本，方是元精。,真真真人不識真其真神有靈歸宗返本方是元精,真真真人不识真真真神有灵归宗返本方是元精,真真真人不识真其真神有灵归宗返本方是元精,pos7: xlsx=真(不识真真真神有) csv=其(不识真其真神有),"[3, 3, 3, 3, 4, 4]",6
48,完全一致,True,True,走尽天涯，风霜历遍，不如问人三天，渐渐有回首见。,走盡天涯風霜歷遍不如問人三天漸漸有回首見,走尽天涯风霜历遍不如问人三天渐渐有回首见,走尽天涯风霜历遍不如问人三天渐渐有回首见,,"[4, 4, 6, 6]",4
49,真正差异,False,False,沉沉痾染，不见天心，雷门一震，体健身轻。,沉沉疴染不見天心雷門一震體健身輕,沉沉痾染不见天心雷门一震体健身轻,沉沉疴染不见天心雷门一震体健身轻,pos2: xlsx=痾(沉沉痾染不见) csv=疴(沉沉疴染不见),"[4, 4, 4, 4]",4
50,真正差异,False,False,财马两匆忙，官禄有定方，猪羊牛犬，自去主张。,財馬兩勿忙官禄有定方猪羊牛犬自去主張,财马两匆忙官禄有定方猪羊牛犬自去主张,财马两勿忙官禄有定方猪羊牛犬自去主张,pos3: xlsx=匆(财马两匆忙官禄) csv=勿(财马两勿忙官禄),"[5, 5, 4, 4]",4
51,真正差异,False,False,空空空，空里得成功，蟠桃千载熟，不怕五更风。,空空空空裏得成功蟠挑千載熟不怕五更風,空空空空里得成功蟠桃千载熟不怕五更风,空空空空里得成功蟠挑千载熟不怕五更风,pos9: xlsx=桃(成功蟠桃千载熟) csv=挑(成功蟠挑千载熟),"[3, 5, 5, 5]",4
52,完全一致,True,True,愁脸放，笑颜开，秋月挂高台，人从千里来。,愁臉放笑顏開秋月掛高臺人從千里來,愁脸放笑颜开秋月挂高台人从千里来,愁脸放笑颜开秋月挂高台人从千里来,,"[3, 3, 5, 5]",4
53,完全一致,True,True,须着力，莫远游，长竿钓向蟾蜍窟，直欲云中得巨鳌。,須着力莫遠遊長竿釣向蟾蜍窟直欲雲中得巨鰲,须着力莫远游长竿钓向蟾蜍窟直欲云中得巨鳌,须着力莫远游长竿钓向蟾蜍窟直欲云中得巨鳌,,"[3, 3, 7, 7]",4
54,完全一致,True,True,无踪无迹，远近难觅，旱海行舟，空劳费力。,無蹤無跡遠近難覓旱海行舟空勞費力,无踪无迹远近难觅旱海行舟空劳费力,无踪无迹远近难觅旱海行舟空劳费力,,"[4, 4, 4, 4]",4
55,真正差异,False,False,细雨蒙蒙湿，江边路不通，道途音信远，凭仗借东风。,細雨濛濛濕江邊路不通道途音信遠憑仗借柬風,细雨蒙蒙湿江边路不通道途音信远凭仗借东风,细雨蒙蒙湿江边路不通道途音信远凭仗借柬风,pos18: xlsx=东(凭仗借东风) csv=柬(凭仗借柬风),"[5, 5, 5, 5]",4
56,真正差异,False,False,平地起云烟，时下未能安，高处觅姻缘。,平地起風煙時下未能安高處覓姻豪,平地起云烟时下未能安高处觅姻缘,平地起风烟时下未能安高处觅姻豪,pos3: xlsx=云(平地起云烟时下) csv=风(平地起风烟时下); pos14: xlsx=缘(处觅姻缘) csv=豪(处觅姻豪),"[5, 5, 5]",3
57,完全一致,True,True,正直宜守，妄动生灾，利通名达，叶落花开。,正直宜守妄動生災利通名達葉落花開,正直宜守妄动生灾利通名达叶落花开,正直宜守妄动生灾利通名达叶落花开,,"[4, 4, 4, 4]",4
58,完全一致,True,True,君子升，小人阻，征战生离苦，前有吉人逢，信在马牛人在楚，事要营求妥。,君子升小人阻征戰生離苦前有吉人逢信在馬牛人在楚事要營求妥,君子升小人阻征战生离苦前有吉人逢信在马牛人在楚事要营求妥,君子升小人阻征战生离苦前有吉人逢信在马牛人在楚事要营求妥,,"[3, 3, 5, 5, 7, 5]",6
59,真正差异,False,False,纷纷复纷纷，欷歔独掩门，敛眉望灯火，伴我坐黄昏。,紛紛復紛紛欷歔獨掩門歛眉望燈火伴我生黃昏,纷纷复纷纷欷歔独掩门敛眉望灯火伴我坐黄昏,纷纷复纷纷欷歔独掩门歛眉望灯火伴我生黄昏,pos10: xlsx=敛(独掩门敛眉望灯) csv=歛(独掩门歛眉望灯); pos17: xlsx=坐(火伴我坐黄昏) csv=生(火伴我生黄昏),"[5, 5, 5, 5]",4
60,完全一致,True,True,红颜美，休挂怀，人在车中，舟行水里。,紅顏美休掛懷人在車中舟行水裏,红颜美休挂怀人在车中舟行水里,红颜美休挂怀人在车中舟行水里,,"[3, 3, 4, 4]",4
61,真正差异,False,False,桥已断，路不通，登舟理楫，又遇狂风。,橋己斷路不通登舟理楫又遇狂風,桥已断路不通登舟理楫又遇狂风,桥己断路不通登舟理楫又遇狂风,pos1: xlsx=已(桥已断路不) csv=己(桥己断路不),"[3, 3, 4, 4]",4
62,完全一致,True,True,深潭月，照镜影，一场空，安报信。,深潭月照鏡影一場空安報信,深潭月照镜影一场空安报信,深潭月照镜影一场空安报信,,"[3, 3, 3, 3]",4
63,真正差异,False,False,湖海意悠悠，烟波下钓钩，若逢龙与兔，名利一齐周。,湖海意悠悠烟波下釣鈎若逢龍與兎名利一齊周,湖海意悠悠烟波下钓钩若逢龙与兔名利一齐周,湖海意悠悠烟波下钓钩若逢龙与兎名利一齐周,pos14: xlsx=兔(逢龙与兔名利一) csv=兎(逢龙与兎名利一),"[5, 5, 5, 5]",4
64,完全一致,True,True,物不牢，人断桥，重整理，慢心高。,物不牢人斷橋重整理慢心高,物不牢人断桥重整理慢心高,物不牢人断桥重整理慢心高,,"[3, 3, 3, 3]",4
65,完全一致,True,True,入而易，出而难，恹恹到再三，交加意不堪。,入而易出而難懨懨到再三交加意不堪,入而易出而难恹恹到再三交加意不堪,入而易出而难恹恹到再三交加意不堪,,"[3, 3, 5, 5]",4
66,真正差异,False,False,事迟志速，而且反覆，直待岁寒，花残果熟。,事遲志速而且反覆直待崴寒花殘果熟,事迟志速而且反覆直待岁寒花残果熟,事迟志速而且反复直待崴寒花残果熟,pos7: xlsx=覆(而且反覆直待岁) csv=复(而且反复直待崴); pos10: xlsx=岁(覆直待岁寒花残) csv=崴(复直待崴寒花残),"[4, 4, 4, 4]",4
67,完全一致,True,True,乘马前进，所求吉贞，随时谐美，缺月重明。,乘馬前進所求吉貞隨時諧美缺月重明,乘马前进所求吉贞随时谐美缺月重明,乘马前进所求吉贞随时谐美缺月重明,,"[4, 4, 4, 4]",4
68,真正差异,False,False,舟离古渡月离云，人出潼关好问津，且向前行去求住，何须疑虑两三心。,舟離在渡月離雲人出潼關好問津且向前行去求住何須疑慮兩三心,舟离古渡月离云人出潼关好问津且向前行去求住何须疑虑两三心,舟离在渡月离云人出潼关好问津且向前行去求住何须疑虑两三心,pos2: xlsx=古(舟离古渡月离) csv=在(舟离在渡月离),"[7, 7, 7, 7]",4
69,仅异体字,True,False,不足不足，难伸心曲，野塘雨过月如钩，梦断邯郸眉黛愁。,不足不足難伸心曲野塘雨過月如鈎夢斷邯鄲眉黛愁,不足不足难伸心曲野塘雨过月如钩梦断邯郸眉黛愁,不足不足难伸心曲野塘雨过月如钩梦断邯郸眉黛愁,,"[4, 4, 7, 7]",4
70,完全一致,True,True,美有堪，堪有美，始有终，终有始。,美有堪堪有美始有終終有始,美有堪堪有美始有终终有始,美有堪堪有美始有终终有始,,"[3, 3, 3, 3]",4
71,完全一致,True,True,湖海悠悠，孤舟浪头，来人未渡，残照山楼。,湖海悠悠孤舟浪頭來人未渡殘照山樓,湖海悠悠孤舟浪头来人未渡残照山楼,湖海悠悠孤舟浪头来人未渡残照山楼,,"[4, 4, 4, 4]",4
72,真正差异,False,False,深户要牢扃，提防暗里人，莫言无外事，纵好定遭迍。,深戸要牢局隄防暗裏人莫言無外事縱好定遭速,深户要牢扃提防暗里人莫言无外事纵好定遭迍,深戸要牢局隄防暗里人莫言无外事纵好定遭速,pos1: xlsx=户(深户要牢扃) csv=戸(深戸要牢局); pos4: xlsx=扃(户要牢扃提防暗) csv=局(戸要牢局隄防暗); pos5: xlsx=提(要牢扃提防暗里) csv=隄(要牢局隄防暗里); pos19: xlsx=迍(好定遭迍) csv=速(好定遭速),"[5, 5, 5, 5]",4
73,仅异体字,True,False,江海悠悠，烟波下钩，六鳌连获，歌笑中流。,江海悠悠烟波下鈎六鰲連獲歌笑中流,江海悠悠烟波下钩六鳌连获歌笑中流,江海悠悠烟波下钩六鳌连获歌笑中流,,"[4, 4, 4, 4]",4
74,仅异体字,True,False,欲济未济，欲求强求，心无一定，一车两头。,欲濟未濟欲求强求心無一定一車兩頭,欲济未济欲求强求心无一定一车两头,欲济未济欲求强求心无一定一车两头,,"[4, 4, 4, 4]",4
75,完全一致,True,True,一得一虑，退后欲先，路通大道，心自安然。,一得一慮退後欲先路通大道心自安然,一得一虑退后欲先路通大道心自安然,一得一虑退后欲先路通大道心自安然,,"[4, 4, 4, 4]",4
76,完全一致,True,True,难难难，忽然平地起波澜，易易易，谈笑寻常终有望。,難難難忽然平地起波瀾易易易談笑尋常終有望,难难难忽然平地起波澜易易易谈笑寻常终有望,难难难忽然平地起波澜易易易谈笑寻常终有望,,"[3, 7, 3, 7]",4
77,完全一致,True,True,心有余，力不足，倚仗春风，一歌一曲。,心有餘力不足倚仗春風一歌一曲,心有余力不足倚仗春风一歌一曲,心有余力不足倚仗春风一歌一曲,,"[3, 3, 4, 4]",4
78,真正差异,False,False,身不安，心不安，动静两三番，终朝事必叹。,身不安心不安動静兩三番終朝事必歡,身不安心不安动静两三番终朝事必叹,身不安心不安动静两三番终朝事必欢,pos15: xlsx=叹(朝事必叹) csv=欢(朝事必欢),"[3, 3, 5, 5]",4
79,完全一致,True,True,事了物未了，人圆物未圆，要知端的信，日影上琅玕。,事了物未了人圓物未圓要知端的信日影上琅玕,事了物未了人圆物未圆要知端的信日影上琅玕,事了物未了人圆物未圆要知端的信日影上琅玕,,"[5, 5, 5, 5]",4
80,真正差异,False,False,木向阳春发，三阴又伏根，樵夫不知道，砍去作柴薪。,木向陽春發三陰又伏根樵夫不知道欲去作柴薪,木向阳春发三阴又伏根樵夫不知道砍去作柴薪,木向阳春发三阴又伏根樵夫不知道欲去作柴薪,pos15: xlsx=砍(不知道砍去作柴) csv=欲(不知道欲去作柴),"[5, 5, 5, 5]",4
81,仅异体字,True,False,一月缺，一镜缺，不团圆，无可说。,一月缺一鏡缺不團圓無可説,一月缺一镜缺不团圆无可说,一月缺一镜缺不团圆无可说,,"[3, 3, 3, 3]",4
82,完全一致,True,True,车马到临，旌旗隐隐月分明，招安讨叛，永大前程。,車馬到臨旌旗隱隱月分明招安討叛永大前程,车马到临旌旗隐隐月分明招安讨叛永大前程,车马到临旌旗隐隐月分明招安讨叛永大前程,,"[4, 7, 4, 4]",4
83,仅异体字,True,False,我何宿，我何宿，海东河北成名录，一段神光，直冲天渎。,我何宿我何宿海東河北成名錄一段神光直冲天瀆,我何宿我何宿海东河北成名录一段神光直冲天渎,我何宿我何宿海东河北成名录一段神光直冲天渎,,"[3, 3, 7, 4, 4]",5
84,完全一致,True,True,金鳞入手，得还防走，若论周旋，谨言缄口。,金鱗入手得還防走若論周旋謹言緘口,金鳞入手得还防走若论周旋谨言缄口,金鳞入手得还防走若论周旋谨言缄口,,"[4, 4, 4, 4]",4
85,仅异体字,True,False,倾一杯，展??愁眉，天地合，好思为。,傾一盃展愁眉天地合好思為,倾一杯展愁眉天地合好思为,倾一杯展愁眉天地合好思为,,"[3, 1, 2, 3, 3]",6
86,完全一致,True,True,野鬼张弧射主人，暗中一箭鬼魂惊，忽然红日沉江海，难破空中事不明。,野鬼張弧射主人暗中一箭鬼魂驚忽然紅日沉江海難破空中事不明,野鬼张弧射主人暗中一箭鬼魂惊忽然红日沉江海难破空中事不明,野鬼张弧射主人暗中一箭鬼魂惊忽然红日沉江海难破空中事不明,,"[7, 7, 7, 7]",4
87,完全一致,True,True,福星照，吉宿临，青天有日见天真，龙飞下载到明庭。,福星照吉宿臨青天有日見天真龍飛下載到明庭,福星照吉宿临青天有日见天真龙飞下载到明庭,福星照吉宿临青天有日见天真龙飞下载到明庭,,"[3, 3, 7, 7]",4
88,完全一致,True,True,独钓寒潭，中途兴阑，水寒鱼不饵，空载月明还。,獨釣寒潭中途興闌水寒魚不餌空載月明還,独钓寒潭中途兴阑水寒鱼不饵空载月明还,独钓寒潭中途兴阑水寒鱼不饵空载月明还,,"[4, 4, 5, 5]",4
89,完全一致,True,True,不归一，劳心力，贵人旁，宜借力。,不歸一勞心力貴人旁宜借力,不归一劳心力贵人旁宜借力,不归一劳心力贵人旁宜借力,,"[3, 3, 3, 3]",4
